,description,en,fr,pl,ru,es,it,ga,fil,de,tr,id,pt,jp
BGM_FINALBOWSER,,Final Bowser,Ultime Bowser,Finalny Bowser,Фиhaльhый БoУзep,,,ＦＩＮＡＬ ＢＯＷＳＥＲ,Haring Kupa (Finale),Letzter Bowser,Son Bowser,Bowser Terakhir,Bowser Final,クッパ2
BGM_COINHEAVEN,,Coin Heaven,Paradis de Pièces,Niebo Monet,paй mohet,,,ＣＯＩＮ ＨＥＡＶＥＮ,Langit ng Pera,Münzenparadies,Altın Cennetİ,Surga Koin,Paraíso das Moedas,むてき
,,,,,,,,,,,,,,
LEVEL_SETTINGS_TIMEOFDAY,,Time of Day:,Temps de la journée :,Czas Dnia,bpemя дhя,,,ＴＩＭＥ ＯＦ ＤＡＹ:,Oras ng araw,Tageszeit,Günün Zamanı:,Waktu dalam Sehari:,Hora,じかん
TIME_DAY,Make sure these are uppercase,DAY,JOUR,Dzień,Дehь,,,ＤＡＹ,Umaga,Tag,Gün,Hari,Dia,しょうご
TIME_NIGHT,,NIGHT,NUIT,Noc,hoчь,,,ＮＩＧＨＴ,Gabi,Nacht,Gece,Malam,Noite,よる
LEVEL_SETTINGS_CAMPAIGN,,Campaign:,Campagne :,Kampania,kamпahия,,,ＣＡＭＰＡＩＧＮ:,Adventure,Spiel,Kampanya,Kampanye:,Campanha,ゲームスキン
LEVEL_SETTINGS_BACKSCROLL,,Backscroll:,Retour Arrière :,Przewijanie Tylne,ПpokpУtka haзaд,,,ＢＡＣＫＳＣＲＯＬＬ:,Backscroll,Rückwärtsscroll,Gerİ Kayma,Scroll Kembali:,Rolagem Para Trás,スクロールかいじょ
LEVEL_SETTINGS_HEIGHT,,Height Limit:,Limite Hauteur :,Limit Wysokości,Лиmиt bыcotы,,,ＨＥＩＧＨＴ ＬＩＭＩＴ:,Limit ng taas,Höhenlimit,Yükseklİk Lİmİtİ,Batas Ketinggian:,Limite de Altura,たかさサイズ
LEVEL_SETTINGS_TIMELIMIT,,Time Limit:,Chrono:,Limit Czasu,bpemя,,,ＴＩＭＥ ＬＩＭＩＴ:,Limit ng oras,Zeitlimit,Zaman Lİmİtİ,Batas waktu:,Tempo Limite,タイマー
LEVEL_SETTINGS_ROOM,,Current Room:,Pièce :,Pokój,komhata,,,ＣＵＲＲＥＮＴ ＲＯＯＭ:,Kwarto,Raum,Oda,Ruang:,Sala,マップ
,,,This is gonna be hell for localization,,,,,,,,,,,
TITLE_SMB1_CLEAR,,Your princess is in this castle!,La Princesse est dans ce château !,Twoja księżniczka jest w tym zamku!,Пpиhцecca b эtom зamke!,¡Tu princesa está en este castillo!,La tua principessa è nel castello!,ＹＯＵＲ ＰＲＩＮＣＥＳＳ ＩＳ ＩＮ ＴＨＩＳ ＣＡＳＴＬＥ!,Dito na siya sa palasyo,Die Prinzessin ist in diesem Schloss!,Prensesİnİz bu kalede!,Putri Anda ada di kastil ini!,Sua princesa está neste castelo!,みつけた！
TITLE_SMBLL_CLEAR,,Peace is paved!,La paix restaurée !,Nastąpił pokój!,mиp hactaл!,¡La paz está asegurada!,La pace è salva!,ＰＥＡＣＥ ＩＳ ＰＡＶＥＤ!,Nakamit ang Kapayapaan,Frieden gesichert!,Barışa yol döşendİ!,Perdamaian telah terwujud!,A paz foi alcançada!,ばんざい！
TITLE_SMBS_CLEAR,,A special quest…,Une quête spéciale…,Specjalna podróż...,ocoбый kbect...,Una misión especial...,Una missione speciale...,Ａ ＳＰＥＣＩＡＬ ＱＵＥＳＴ…,Mahalagang Misyon...,Eine besondere Mission...,Özel bİr görev...,"""Mario Bros"" Spesial",Uma missão especial...,スーパープレイヤー！
TITLE_SMBANN_CLEAR,,Viva Kingdom saved!,Royaume Viva Sauvé !,Królestwo Viva uratowane!,Дa здpabctbУet cпacёhhoe kopoлebctbo!,¡Viva Kingdom salvado!,,ＶＩＶＡ ＫＩＮＧＤＯＭ ＳＡＶＥＤ!,Buong gabi espesyal!,Viva-Königreich gerettet!,Krallık kurtarıldı!,Negeri Ajaib Boogie,Viva ao Reino salvo!,ビバおうこく！
TITLE_SMB1_CHALLENGE,,Scavenger Hunt!,Chasse au trésor !,Poszukiwanie skarbów!,oxota зa mУcopom!,¡Búsqueda del tesoro!,Caccia al tesoro,ＳＣＡＶＥＮＧＥＲ ＨＵＮＴ!,Huli ka!,Schatzsuche!,Hazİne Avı!,Perburuan Harta Karun!,Caça ao Tesouro!,キノコおうこく　コインハンター
TITLE_SMBLL_CHALLENGE,,Lost and Found!,Super Mario Bros. Les Objets Trouvés,Tu się chowasz!,Пotepяh и haйдeh!,¡Objetos perdidos!,,ＬＯＳＴ ＡＮＤ ＦＯＵＮＤ!,Nakita ka din!,Fundgrube!,Kayıp ve Bulundu!,Hilang dan Ditemukan!,Achados e Perdidos!,パラレルワールド　コインハンター
TITLE_SMBS_CHALLENGE,,A special hiding spot…,Une cachette bien spéciale…,Specjalne miejsce kryjówki...,ocoбoe пotaйhoe mecto...,¡Boo-yah!,Un nascondiglio speciale...,Ａ ＳＰＥＣＩＡＬ ＨＩＤＩＮＧ ＳＰＯＴ…,Walang takas...,Ein besonderer Versteck...,Özel bİr saklanma yerİ...,Tempat persembunyian khusus…,Um esconderijo especial...,スペシャルコインハンター
TITLE_SMB1_BOO,,Boo-yah!,Boo-ais !,Dusza tańczy z radości!,БУ-Уpa!,¡BOO-M!,Boo-yah!,ＢＯＯ-ＹＡＨ!,Boo-yah!,Boo-yah!,Boo-ya!,Boo-yah!,Boo-yah!,しょうりのゴースト1
TITLE_SMBLL_BOO,,BOO-M!,Et BOO-M !,Straszna radocha!,БУ-Уm!,¿Boo-quién?,BOO-M!,ＢＯＯ-Ｍ!,BOO-M!,Boo-m!,BOO-M!,BOO-M!,BOO-M!,しょうりのゴースト2
TITLE_SMBS_BOO,,Boo-who?,Boo ? Où ?,Specjalny żart o duchach!,БУ-kto?,¡Tur-Boo!,Boo-who?,ＢＯＯ-ＷＨＯ?,Boo-who?,Boo-wer?,Boo-kİm?,Boo-siapa?,Boo-quem?,スペシャル・しょうりのゴースト
TITLE_SMB1_GOLD_BOO,,Tur-Boo!!,Tur-Boo !!,Duch pędziwiatr!!,tУp-БУ!!,¡Boo-donkulous!,Tur-boo!!,ＴＵＲ-ＢＯＯ!!,Tur-Boo!!,Tur-Boo!!,Tur-Boo!,Tur-Boo!!,Tur-Boo!!,かがやくゴースト1
TITLE_SMBLL_GOLD_BOO,,Boo-donkulous!!,On rentre du Boo-lot !,Spektralnie!!,БУ-зУmhый!!,¡Jam-Boo-ree!,Boo-donkulous!!,ＢＯＯ-ＤＯＮＫＵＬＯＵＳ!!,Boo-donkulous!!,Boo-tastisch!!,Boo-Zonglu!,Boo-donkulous!!,Ridícu-Boo,かがやくゴースト2
TITLE_SMBS_GOLD_BOO,,Jam-Boo-ree!!,Jam-Boo-ree !!,Zabrakło frazeologizmów.,Джam-БУ-pи!!,Un buen calentamiento...,Jam-Boo-ree!!,ＪＡＭ-ＢＯＯ-ＲＥＥ!!,Jam-Boo-ree!!,Jam-Boo-Ree!!,Jam-Boo-ree!!,Jam-Boo-ree!!,Jam-Boo-ree!!,スペシャルかがやくゴースト
TITLE_SMB1_BRONZE,,A good warm-up…,Joggeur du Dimanche,Dobra rozgrzewka...,xopoший paзoгpeb...,Ambicioso... Pero una porquería...,Un buon riscaldamento...,Ａ ＧＯＯＤ ＷＡＲＭ-ＵＰ…,Magandang simula,Gut aufgewärmt...,İyİ bİr ısınma...,Pemanasan yang baik…,Um bom aquecimento...,ブロンズショーケース（マリオ1）
TITLE_SMBLL_BRONZE,,Ambitious… But rubbish…,Avoir de l'ambitions…,Ambitnie... choć okropnie.,amбициoзho... ho otctoй...,¡Ya empezó!,Ambizioso... ma scarso...,ＡＭＢＩＴＩＯＵＳ… ＢＵＴ ＲＵＢＢＩＳＨ…,Pwede na,Guter Versuch!,Hırslı.. ama kötü.,Ambisius… Tapi sampah…,Ambicioso... mas bobo...,ブロンズショーケース（マリオ2）
TITLE_SMBS_BRONZE,,It's on!,Les débuts d'un spécialiste,Ruszaj!,Пoгhaли!,¡Ahora estás jugando con Power!,Si fa sul serio!,ＩＴ'Ｓ ＯＮ!,Let's get it,Auf geht's!,Hazır!,Sudah dimulai!,Vem pro fight!,ブロンズショーケース（マリオスペシャル）
TITLE_SMB1_SILVER,,Now you're playing with Power!,La puissance est entre vos mains !,Teraz grasz z mocą!,Ужe игpaem c cилoй!,¡No sirve de nada!,,ＮＯＷ ＹＯＵ'ＲＥ ＰＬＡＹＩＮＧ ＷＩＴＨ ＰＯＷＥＲ!,"Yan na, nagsisimula na",Jetzt spielst du mit Power!,Şİmdİ güç İle oynuyorsun!,Sekarang kau bermain dengan Power!,Agora você está brincando com Poder!,シルバーショーケース（マリオ1）
TITLE_SMBLL_SILVER,,It's no use!,C'est en vain !,Odnaleziony talent...,Бecпoлeзho!,Reflejos rápidos...,è inutile!,ＩＴ'Ｓ ＮＯ ＵＳＥ!,It's no use!,Stabile Reflexe!,Yardım etmİyor!,Tak ada gunanya!,Não adianta!,シルバーショーケース（マリオ2）
TITLE_SMBS_SILVER,,Sharp reflexes…,Sacrées Réflexes…,Refleks maszynisty...,ctaльhыe peфлekcы...,Imagina un autobús...,Riflessi raffinati...,ＳＨＡＲＰ ＲＥＦＬＥＸＥＳ…,Speed lang..,Jetzt wird's heiss!,İyİ refleksler...,Refleks yang tajam…,Ótimos reflexos...,シルバーショーケース（マリオスペシャル）
TITLE_SMB1_GOLD,,Imagine a bus…,Imagine un bus…,Wyobraź sobie autobus...?,Пpeдctabь ceбe kУct...,¡Velocidad cósmica!,,ＩＭＡＧＩＮＥ Ａ ＢＵＳ…,May mas ibibilis pa...,Retro-Meister!,Bİr otobüs düşün...,Bayangkan sebuah bus…,Imagine um ônibus...,ゴールドショーケース（マリオ1）
TITLE_SMBLL_GOLD,,Kosmic Speed!,Vitesse Kosmic !,Kosmiczna prędkość!,kocmиk'eckaя ckopoctь!,Una persona especial...,,ＫＯＳＭＩＣ ＳＰＥＥＤ!,Kosmic Speed!,Kosmische Geschwindigkeit!,Kosmİc Hız!,Kecepatan Kosmic!,Velocidade Kósmica,ゴールドショーケース（マリオ2）
TITLE_SMBS_GOLD,,Special sorta person…,T'es un type spécial toi !,Jesteś specjalny... pozytywnie!,ocoбehhый cлeгka чeлobek...,Super Speed Bros.,,ＳＰＥＣＩＡＬ ＳＯＲＴＡ ＰＥＲＳＯＮ…,Medyo special ka na yan,Eine besondere Person...,Özel bİrİ...,Orang yang agak istimewa…,Uma pessoa meio especial...,ゴールドショーケース（マリオスペシャル）
TITLE_SMB1_RUN,,Super Speed Bros.,Super Speed Bros.,Super Speed Bros.,cУпep Бpatья ckopoctь,No puedes ganarnos.,,ＳＵＰＥＲ ＳＰＥＥＤ ＢＲＯＳ.,Super Speed Bros.,Super Speed Bros.,Süper Hız Kardeşler!,Super Cepat Bros.,Super Velozes e Furiosos Bros.,スピードラン・ブラザーズ1
TITLE_SMBLL_RUN,LMAO (truth nuke),You cannot beat us.,Tu ne peux pas nous vaincre.,Nic mnie nie powstrzyma.,teбe he пoбeдиtь hac.,En esto a largo plazo...,,ＹＯＵ ＣＡＮＮＯＴ ＢＥＡＴ ＵＳ.,Di mo kami matatalo,Unbesiegbar!,Bİzİ bİtİremezsİn.,Kau tidak bisa mengalahkan kami.,Você não pode nos vencer.,スピードラン・ブラザーズ2
TITLE_SMBS_RUN,,In it for the long haul…,Une course à long terme…,Mistrz prędkości!,Эto бУдet haдoлгo...,En esto a largo plazo...,,ＩＮ ＩＴ ＦＯＲ ＴＨＥ ＬＯＮＧ ＨＡＵＬ…,In it for the long haul…,Ein Spezial-Marathon!,Uzun bİr macera.,Bertahan dalam jangka panjang…,Nisso por muito tempo...,スペシャル・スピードラン
TITLE_ANN_PRANK,,The party never stops!,Que la fête continue !,Impreza dalej trwa!,beчepиhke he пpeдeл!,¡La fiesta nunca termina!,La festa non finisce mai!,ＴＨＥ ＰＡＲＴＹ ＮＥＶＥＲ ＳＴＯＰＳ!,Walang tigil na party!,Die Feier hört nie auf!,Partİ hİç bİtmez!,Pesta Tak Pernah Berhenti!,A farra nunca acaba!,GoGoマリオ！！
TITLE_SMBLL_WORLD9,,Fantasy World Conquered!,Conquête du Monde Fantastique !,Świat fantazy pokonany!,mиp Фahtaзий зaboёbah!,¡Mundo fantástico conquistado!,,ＦＡＮＴＡＳＹ ＷＯＲＬＤ ＣＯＮＱＵＥＲＥＤ!,Fantasy World Conquered!,Fantasiewelt erobert!,Fantezİ Dünyası Fethedİldİ!,Dunia Fantasi Ditaklukkan!,Mundo Fantástico Conquistado!,ロストレベルズ
TITLE_COMPLETION,,Completionist,Perfectionniste,Perfekcjonista,komплeциohиct,Completista,,ＣＯＭＰＬＥＴＩＯＮＩＳＴ,Completionist,Perfektionist!,Mükemmelİyetçİ,Completionist,Completista,ぜんクリ
TITLE_LOCKED_ACHIEVEMENT,,Locked Achievement,Succès Vérouillé,Zablokowane osiągnięcie,Зakpыtoe Дoctижehиe,Logro desbloqueado,Obiettivo bloccato,ＬＯＣＫＥＤ ＡＣＨＩＥＶＥＭＥＮＴ,Naka-lock,Erfolg noch nicht freigeschaltet,Kİlİtlİ Başarı,Achievement Terkunci,Conquista Trancada,ロックされたトロフィー
,,,,,,,,,,,,,,
DESC_SMB1_CLEAR,,Finish Super Mario Bros.,Terminer Super Mario Bros.,Ukończ Super Mario Bros.,Пpoйдиte Super Mario Bros.,Termina Super Mario Bros.,Finisci Super Mario Bros.,ＦＩＮＩＳＨ ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ.,Tapusin ang Super Mario Bros.,Beende Super Mario Bros.,Super Marİo Bros'u bİtİr.,Selesaikan Super Mario Bros.,Complete o Super Mario Bros.,マリオ1をクリアしろ
DESC_SMBLL_CLEAR,,Finish Super Mario Bros. The Lost Levels.,Terminer Super Mario Bros. Les Niveaux Perdus,Ukończ Super Mario Bros. The Lost Levels.,Пpoйдиte Super Mario Bros. The Lost Levels.,Termina Super Mario Bros. The Lost Levels.,Finisci Super Mario Bros. The Lost Levels,ＦＩＮＩＳＨ ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ. ＴＨＥ ＬＯＳＴ ＬＥＶＥＬＳ.,Tapusin ang Super Mario Bros. The Lost Levels.,Beende Super Mario Bros.: The Lost Levels.,Super Marİo Bros.: The Lost Levels'ı bİtİr.,Selesaikan Super Mario Bros. The Lost Levels.,Complete o Super Mario Bros. The Lost Levels.,マリオ2をクリアしろ
DESC_SMBS_CLEAR,,Finish Super Mario Bros. Special,Terminer Super Mario Bros. Spécial,Ukończ Super Mario Bros. Special.,Пpoйдиte Super Mario Bros. Special,Termina Super Mario Bros. Special.,Finisci Super Mario Bros. Special,ＦＩＮＩＳＨ ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ. ＳＰＥＣＩＡＬ,Tapusin ang Super Mario Bros. Special,Beende Super Mario Bros. Special.,Super Marİo Bros. Specİal'ı bİtİr.,Selesaikan Super Mario Bros. Spesial,Complete o Super Mario Bros. Special,マリオスペシャルをクリアしろ
DESC_SMBANN_CLEAR,,Finish All Night Nippon: Super Mario Bros.,Terminer All Night Nippon: Super Mario Bros.,Ukończ All Night Nippon: Super Mario Bros.,Пpoйдиte All Night Nippon: Super Mario Bros.,Termina All Night Nippon: Super Mario Bros.,Finisci All Night Nippon: Super Mario Bros.,ＦＩＮＩＳＨ ＡＬＬ ＮＩＧＨＴ ＮＩＰＰＯＮ: ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ.,Tapusin ang All Night Nippon: Super Mario Bros.,Beende All Night Nippon: Super Mario Bros.,All Nİght Nİppon: Super Marİo Bros'u bİtİr.,Selesaikan All Night Nippon: Super Mario Bros.,Complete o All Night Nippon: Super Mario Bros.,オールナイトニッポンをクリアしろ
DESC_SMB1_CHALLENGE,,Fully complete Challenge Hunt for Super Mario Bros.,Compléter le Défi de Chasse de Super Mario Bros.,Ukończ Tryb Poszukiwania dla Super Mario Bros.,Пoлhoctью пpoйдиte Иcпыtahиe oxotы b Super Mario Bros.,Completa por completo Challenge Hunt para Super Mario Bros.,,ＦＵＬＬＹ ＣＯＭＰＬＥＴＥ ＣＨＡＬＬＥＮＧＥ ＨＵＮＴ ＦＯＲ ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ.,Tapusin at Kompletuhin ang Scavenger sa Super Mario Bros.,Vervollständige die Schatzsuche in Super Mario Bros.,Super Marİo Bros'un Hazİne Avını bİtİr.,Selesaikan Tantangan Perburu di Super Mario Bros.,Termine completamente a Caça ao Desafio para o Super Mario Bros.,マリオ1のすべてのチャレンジゲームをクリアしろ
DESC_SMBLL_CHALLENGE,,Fully complete Challenge Hunt for Super Mario Bros. The Lost Levels,Compléter le Défi de Chasse de Super Mario Bros. Les Niveaux Perdus,Ukończ Tryb Poszukiwania dla Super Mario Bros. The Lost Levels.,Пoлhoctью пpoйдиte Иcпыtahиe oxotы b Super Mario Bros. The Lost Levels,Completa por completo Challenge Hunt para Super Mario Bros. The Lost Levels.,,ＦＵＬＬＹ ＣＯＭＰＬＥＴＥ ＣＨＡＬＬＥＮＧＥ ＨＵＮＴ ＦＯＲ ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ. ＴＨＥ ＬＯＳＴ ＬＥＶＥＬＳ,Tapusin at Kompletuhin ang Scavenger sa Super Mario Bros. The Lost Levels,Vervollständige die Schatzsuche in Super Mario Bros.: The Lost Levels.,Super Marİo Bros.: The Lost Levels'ın Hazİne Avını bİtİr.,Selesaikan Tantangan Perburu di Super Mario Bros. The Lost Levels,Termine completamente a Caça ao Desafio para o Super Mario Bros. The Lost Levels.,マリオ2のすべてのチャレンジゲームをクリアしろ
DESC_SMBS_CHALLENGE,,Fully complete Challenge Hunt for Super Mario Bros. Special.,Compléter le Défi de Chasse de Super Mario Bros. Spécial,Ukończ Tryb Poszukiwania dla Super Mario Bros. Special.,Пoлhoctью пpoйдиte Иcпыtahиe oxotы b Super Mario Bros. Special.,Completa por completo Challenge Hunt para Super Mario Bros. Special.,,ＦＵＬＬＹ ＣＯＭＰＬＥＴＥ ＣＨＡＬＬＥＮＧＥ ＨＵＮＴ ＦＯＲ ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ. ＳＰＥＣＩＡＬ.,Tapusin at Kompletuhin ang Scavenger sa Super Mario Bros. Special.,Vervollständige die Schhatzsuche in Super Mario Bros. Special.,Super Marİo Bros. Specİal'ın Hazİne Avını bİtİr.,Selesaikan Tantangan Perburu di Super Mario Bros. Spesial.,Termine completamente a Caça ao Desafio para o Super Mario Bros. Special.,マリオスペシャルのすべてのチャレンジゲームをクリアしろ
DESC_SMB1_BOO,,Complete every level in You VS. Boo for Super Mario Bros.,Terminer chaque niveau dans Vous Contre Boo de Super Mario Bros.,Ukończ każdy poziom w Ty Kontra Boo dla Super Mario Bros.,Пpoйдиte bce Уpobhи tы Пpotиb БУ b Super Mario Bros.,Completa todos los niveles de You VS. Boo para Super Mario Bros.,,ＣＯＭＰＬＥＴＥ ＥＶＥＲＹ ＬＥＶＥＬ ＩＮ ＹＯＵ ＶＳ. ＢＯＯ ＦＯＲ ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ.,Tapusin lahat ng lebel sa VS. Boo sa Super Mario Bros.,Beende jedes Du Vs. Boo-Level in Super Mario Bros.,Super Marİo Bros.'un tüm Sen VS. Boo levellerİnİ bİtİr.,Selesaikan setiap level Kau VS. Boo di Super Mario Bros.,Passe todos os nívies You VS. Boo para o Super Mario Bros.,マリオ1のすべてのテレサレースをクリアしろ
DESC_SMBLL_BOO,,Complete every level in You VS. Boo for Super Mario Bros. The Lost Levels,Terminer chaque niveau dans Vous Contre Boo de Super Mario Bros. Les Niveaux Perdus,Ukończ każdy poziom w Ty Kontra Boo dla Super Mario Bros. The Lost Levels.,Пpoйдиte bce Уpobhи tы Пpotиb БУ b Super Mario Bros. The Lost Levels,Completa todos los niveles de You VS. Boo para Super Mario Bros. The Lost Levels.,,ＣＯＭＰＬＥＴＥ ＥＶＥＲＹ ＬＥＶＥＬ ＩＮ ＹＯＵ ＶＳ. ＢＯＯ ＦＯＲ ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ. ＴＨＥ ＬＯＳＴ ＬＥＶＥＬＳ,Tapusin lahat ng lebel sa VS. Boo sa Super Mario Bros. The Lost Levels,Beende jedes Du Vs. Boo-Level in Super Mario Bros.: The Lost Levels.,Super Marİo Bros.: The Lost Levels'ın tüm Sen VS. Boo levellerİnİ bİtİr.,Selesaikan setiap level Kau VS. Boo di Super Mario Bros. The Lost Levels,Passe todos os nívies You VS. Boo para o Super Mario Bros. The Lost Levels.,マリオ2のすべてのテレサレースをクリアしろ
DESC_SMBS_BOO,,Complete every level in You VS. Boo for Super Mario Bros. Special.,Terminer chaque niveau dans Vous Contre Boo de Super Mario Bros. Spécial,Ukończ każdy poziom w Ty Kontra Boo dla Super Mario Bros. Special.,Пpoйдиte bce Уpobhи tы Пpotиb БУ b Super Mario Bros. Special.,Completa todos los niveles de You VS. Boo para Super Mario Bros. Special.,,ＣＯＭＰＬＥＴＥ ＥＶＥＲＹ ＬＥＶＥＬ ＩＮ ＹＯＵ ＶＳ. ＢＯＯ ＦＯＲ ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ. ＳＰＥＣＩＡＬ.,Tapusin lahat ng lebel sa VS. Boo sa Boo for Super Mario Bros. Special.,Beende jedes Du Vs. Boo-Level in Super Mario Bros. Special.,Super Marİo Bros. Specİal'ın tüm Sen VS. Boo levellerİnİ bİtİr.,Selesaikan setiap level Kau VS. Boo di Super Mario Bros. Special.,Passe todos os nívies You VS. Boo para o Super Mario Bros. Special.,マリオスペシャルのすべてのテレサレースをクリアしろ
DESC_SMB1_GOLD_BOO,,Beat every Golden Boo in You VS Boo. for Super Mario Bros.,Battre tous les Boo Dorés dans Vous Contre Boo de Super Mario Bros.,Pokonaj każdego złotego Boo w Ty Kontra Boo dla Super Mario Bros.,Пoбeдиte kaждoгo Зoлotoгo БУ b tы Пpotиb БУ b Super Mario Bros.,Derrota a todos los Golden Boo en You VS Boo. para Super Mario Bros.,,ＢＥＡＴ ＥＶＥＲＹ ＧＯＬＤＥＮ ＢＯＯ ＩＮ ＹＯＵ ＶＳ ＢＯＯ. ＦＯＲ ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ.,Talunin lahat ng Gintong Boo sa VS Boo. sa Super Mario Bros.,Schlage jeden goldenen Boo in Du Vs. Boo in Super Mario Bros.,Super Marİo Bros.'un tüm Sen VS. Boo modundakİ Altın Boo'ları bİtİr.,Kalahkan setiap Golden Boo di Kau VS Boo. untuk Super Mario Bros.,Derrote todos os Boos Dourados no You VS Boo para o Super Mario Bros.,マリオ1のすべてのテレサレースでゴールドテレサにかて
DESC_SMBLL_GOLD_BOO,,Beat every Golden Boo in You VS Boo. for Super Mario Bros. The Lost Levels.,Battre tous les Boo Dorés dans Vous Contre Boo de Super Mario Bros. Les Niveaux Perdus,Pokonaj każdego złotego Boo w Ty Kontra Boo dla Super Mario Bros. The Lost Levels.,Пoбeдиte kaждoгo Зoлotoгo БУ b tы Пpotиb БУ b Super Mario Bros. The Lost Levels.,Derrota a todos los Golden Boo en You VS Boo. para Super Mario Bros. The Lost Levels.,,ＢＥＡＴ ＥＶＥＲＹ ＧＯＬＤＥＮ ＢＯＯ ＩＮ ＹＯＵ ＶＳ ＢＯＯ. ＦＯＲ ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ. ＴＨＥ ＬＯＳＴ ＬＥＶＥＬＳ.,Talunin lahat ng Gintong Boo sa VS Boo. sa Super Mario Bros. The Lost Levels.,Schlage jeden goldenen Boo in Du Vs. Boo in Super Mario Bros.: The Lost Levels.,Super Marİo Bros.: The Lost Levels'ın tüm Sen VS. Boo modundakİ Altın Boo'ları bİtİr.,Kalahkan setiap Golden Boo di Kau VS Boo. untuk Super Mario Bros. The Lost Levels.,Derrote todos os Boos Dourados no You VS Boo para o Super Mario Bros. The Lost Levels.,マリオ2のすべてのテレサレースでゴールドテレサにかて
DESC_SMBS_GOLD_BOO,,Beat every Golden Boo in You VS Boo. for Super Mario Bros. Special.,Battre tous les Boo Dorés dans Vous Contre Boo de Super Mario Bros. Spécial,Pokonaj każdego złotego Boo w Ty Kontra Boo dla Super Mario Bros. Special.,Пoбeдиte kaждoгo Зoлotoгo БУ b tы Пpotиb БУ b Super Mario Bros. Special.,Derrota a todos los Golden Boo en You VS Boo. para Super Mario Bros. Special.,,ＢＥＡＴ ＥＶＥＲＹ ＧＯＬＤＥＮ ＢＯＯ ＩＮ ＹＯＵ ＶＳ ＢＯＯ. ＦＯＲ ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ. ＳＰＥＣＩＡＬ.,Talunin lahat ng Gintong Boo sa VS Boo. sa Super Mario Bros. Special.,Schlage jeden goldenen Boo in Du Vs. Boo in Super Mario Bros. Special.,Super Marİo Bros. Specİal'ın tüm Sen VS. Boo modundakİ Altın Boo'ları bİtİr.,Kalahkan setiap Golden Boo di Kau VS Boo. untuk Super Mario Bros. Special.,Derrote todos os Boos Dourados no You VS Boo para o Super Mario Bros. Special.,マリオスペシャルのすべてのテレサレースでゴールドテレサにかて
DESC_SMB1_BRONZE,,Collect every Bronze Medal in Marathon Mode for Super Mario Bros.,Collecter toutes les médailles de bronze du mode Marathon de Super Mario Bros.,Zdobądź każdy bronzowy medal w trybie maratonu dla Super Mario Bros.,ПoлУчиte bce Бpohзobыe meдaли b peжиme mapaфoha для Super Mario Bros.,Consigue todas las medallas de bronce en el modo maratón de Super Mario Bros.,,ＣＯＬＬＥＣＴ ＥＶＥＲＹ ＢＲＯＮＺＥ ＭＥＤＡＬ ＩＮ ＭＡＲＡＴＨＯＮ ＭＯＤＥ ＦＯＲ ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ.,Maka-Bronze sa Maraton sa Super Mario Bros.,Erhalte jede Bronze-Medaille im Marathon-Modus in Super Mario Bros.,Super Marİo Bros'un Maraton Modundakİ tüm Bronz Madalyaları kazan.,Kumpulkan setiap Medali Perunggu dalam Mode Marathon di Super Mario Bros.,Colete todas as Medalhas de Bronze no Modo Maratona para Super Mario Bros.,マリオ1のマラソンですべてのどうメダルをあつめて
DESC_SMBLL_BRONZE,,Collect every Bronze Medal in Marathon Mode for Super Mario Bros. The Lost Levels.,Collecter toutes les médailles de bronze du mode Marathon de Super Mario Bros. Les Niveaux Perdus,Zdobądź każdy bronzowy medal w trybie maratonu dla Super Mario Bros. The Lost Levels.,ПoлУчиte bce Бpohзobыe meдaли b peжиme mapaфoha для Super Mario Bros. The Lost Levels,Consigue todas las medallas de bronce en el modo maratón de Super Mario Bros. The Lost Levels.,,ＣＯＬＬＥＣＴ ＥＶＥＲＹ ＢＲＯＮＺＥ ＭＥＤＡＬ ＩＮ ＭＡＲＡＴＨＯＮ ＭＯＤＥ ＦＯＲ ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ. ＴＨＥ ＬＯＳＴ ＬＥＶＥＬＳ.,Maka-Bronze sa Maraton sa Super Mario Bros. The Lost Levels.,Erhalte jede Bronze-Medaille im Marathon-Modus in Super Mario Bros.: The Lost Levels.,Super Marİo Bros.: The Lost Levels'ın Maraton Modundakİ tüm Bronz Madalyaları kazan.,Kumpulkan setiap Medali Perunggu dalam Mode Marathon di Super Mario Bros. The Lost Levels,Colete todas as Medalhas de Bronze no Modo Maratona para Super Mario Bros. The Lost Levels.,マリオ2のマラソンですべてのどうメダルをあつめて
